dataname,batch_size,trigger_label,learning_rate,epoch,loss,train_acc,test_ori_acc,test_tri_acc
cifar10,128,0,0.0001,64,"tensor(39.1147, device='cuda:0', grad_fn=<AddBackward0>)",0.17596,0.1147,0.5177
cifar10,128,0,0.0001,65,"tensor(39.1065, device='cuda:0', grad_fn=<AddBackward0>)",0.17572,0.115,0.5173
cifar10,128,0,0.0001,66,"tensor(39.0886, device='cuda:0', grad_fn=<AddBackward0>)",0.17572,0.1154,0.5163
cifar10,128,0,0.0001,67,"tensor(39.0782, device='cuda:0', grad_fn=<AddBackward0>)",0.17586,0.1156,0.516
cifar10,128,0,0.0001,68,"tensor(39.0551, device='cuda:0', grad_fn=<AddBackward0>)",0.17584,0.1162,0.5156
cifar10,128,0,0.0001,69,"tensor(39.0344, device='cuda:0', grad_fn=<AddBackward0>)",0.17588,0.1168,0.5156
cifar10,128,0,0.0001,70,"tensor(39.0255, device='cuda:0', grad_fn=<AddBackward0>)",0.1759,0.1172,0.5153
cifar10,128,0,0.0001,71,"tensor(38.9975, device='cuda:0', grad_fn=<AddBackward0>)",0.1759,0.1171,0.5145
cifar10,128,0,0.0001,72,"tensor(39.0062, device='cuda:0', grad_fn=<AddBackward0>)",0.1759,0.1172,0.5132
cifar10,128,0,0.0001,73,"tensor(38.9672, device='cuda:0', grad_fn=<AddBackward0>)",0.17606,0.1169,0.5127
cifar10,128,0,0.0001,74,"tensor(38.9578, device='cuda:0', grad_fn=<AddBackward0>)",0.17596,0.1167,0.5122
cifar10,128,0,0.0001,75,"tensor(38.9607, device='cuda:0', grad_fn=<AddBackward0>)",0.1764,0.117,0.511
cifar10,128,0,0.0001,76,"tensor(38.9415, device='cuda:0', grad_fn=<AddBackward0>)",0.17626,0.1174,0.5106
cifar10,128,0,0.0001,77,"tensor(38.9275, device='cuda:0', grad_fn=<AddBackward0>)",0.17646,0.1171,0.5095
cifar10,128,0,0.0001,78,"tensor(38.9059, device='cuda:0', grad_fn=<AddBackward0>)",0.17656,0.117,0.5091
cifar10,128,0,0.0001,79,"tensor(38.8957, device='cuda:0', grad_fn=<AddBackward0>)",0.17668,0.1166,0.5083
cifar10,128,0,0.0001,80,"tensor(38.8692, device='cuda:0', grad_fn=<AddBackward0>)",0.17664,0.1169,0.5075
cifar10,128,0,0.0001,81,"tensor(38.8587, device='cuda:0', grad_fn=<AddBackward0>)",0.17652,0.117,0.5055
cifar10,128,0,0.0001,82,"tensor(38.8509, device='cuda:0', grad_fn=<AddBackward0>)",0.17648,0.1171,0.5042
cifar10,128,0,0.0001,83,"tensor(38.8248, device='cuda:0', grad_fn=<AddBackward0>)",0.17648,0.1172,0.5038
cifar10,128,0,0.0001,84,"tensor(38.8112, device='cuda:0', grad_fn=<AddBackward0>)",0.17656,0.1168,0.5034
cifar10,128,0,0.0001,85,"tensor(38.7980, device='cuda:0', grad_fn=<AddBackward0>)",0.17654,0.1172,0.5029
cifar10,128,0,0.0001,86,"tensor(38.7780, device='cuda:0', grad_fn=<AddBackward0>)",0.17656,0.1171,0.5035
cifar10,128,0,0.0001,87,"tensor(38.7763, device='cuda:0', grad_fn=<AddBackward0>)",0.17654,0.1169,0.5029
cifar10,128,0,0.0001,88,"tensor(38.7607, device='cuda:0', grad_fn=<AddBackward0>)",0.17656,0.1169,0.5023
cifar10,128,0,0.0001,89,"tensor(38.7427, device='cuda:0', grad_fn=<AddBackward0>)",0.1766,0.1169,0.5013
cifar10,128,0,0.0001,90,"tensor(38.7317, device='cuda:0', grad_fn=<AddBackward0>)",0.1766,0.117,0.5008
cifar10,128,0,0.0001,91,"tensor(38.7121, device='cuda:0', grad_fn=<AddBackward0>)",0.17634,0.1173,0.5007
cifar10,128,0,0.0001,92,"tensor(38.7099, device='cuda:0', grad_fn=<AddBackward0>)",0.17616,0.1173,0.5001
cifar10,128,0,0.0001,93,"tensor(38.6981, device='cuda:0', grad_fn=<AddBackward0>)",0.17586,0.1178,0.4993
cifar10,128,0,0.0001,94,"tensor(38.6696, device='cuda:0', grad_fn=<AddBackward0>)",0.17576,0.1177,0.498
cifar10,128,0,0.0001,95,"tensor(38.6525, device='cuda:0', grad_fn=<AddBackward0>)",0.17552,0.1179,0.4969
cifar10,128,0,0.0001,96,"tensor(38.6453, device='cuda:0', grad_fn=<AddBackward0>)",0.17526,0.1182,0.4952
cifar10,128,0,0.0001,97,"tensor(38.6243, device='cuda:0', grad_fn=<AddBackward0>)",0.17518,0.1183,0.4947
cifar10,128,0,0.0001,98,"tensor(38.6089, device='cuda:0', grad_fn=<AddBackward0>)",0.17512,0.1182,0.494
cifar10,128,0,0.0001,99,"tensor(38.6035, device='cuda:0', grad_fn=<AddBackward0>)",0.17522,0.1184,0.4941
